行政區名,_x0033_碼郵遞區號,中心點經度,中心點緯度,A1死亡人數,A1受傷人數,A2受傷人數,總受傷人數,總傷亡人數
新北市淡水區,251,121.463904,25.18907636,5,5,2824,2829,2834
新北市深坑區,222,121.6200624,24.99767506,1,0,292,292,293
新北市新店區,231,121.5316565,24.93039008,7,7,3589,3596,3603
新北市新莊區,242,121.4367535,25.0358303,17,23,5520,5543,5560
新北市瑞芳區,224,121.8232018,25.0981293,3,0,264,264,267
新北市萬里區,207,121.6439307,25.17572457,1,0,161,161,162
新北市樹林區,238,121.401034,24.97970609,4,2,1672,1674,1678
新北市雙溪區,227,121.8329822,24.99698394,0,0,29,29,29
新北市蘆洲區,247,121.4712461,25.08927173,5,3,2987,2990,2995
新北市鶯歌區,239,121.3466269,24.9566258,8,3,1281,1284,1292
新竹市北區,300,120.9491233,24.82269542,9,1,3447,3448,3457
新竹市東區,300,120.9927505,24.79028174,13,8,8014,8022,8035
新竹市香山區,300,120.9236727,24.77104342,12,10,2057,2067,2079
新竹縣五峰鄉,311,121.1389495,24.578054,0,0,23,23,23
新竹縣北埔鄉,314,121.0642745,24.67207405,0,0,124,124,124
新竹縣尖石鄉,313,121.2819341,24.59493235,2,0,105,105,107
新竹縣竹北市,302,120.9948704,24.83816209,12,4,5528,5532,5544
新竹縣竹東鎮,310,121.0753632,24.73075802,8,4,2122,2126,2134
新竹縣芎林鄉,307,121.1046394,24.7657116,5,2,486,488,493
新竹縣峨眉鄉,315,121.0110809,24.67811197,1,0,62,62,63
新竹縣湖口鄉,303,121.0517242,24.88566341,7,3,2499,2502,2509
新竹縣新埔鎮,305,121.0939886,24.84133959,2,0,964,964,966
新竹縣新豐鄉,304,120.9956033,24.90731298,11,5,1294,1299,1310
新竹縣橫山鄉,312,121.1469732,24.7078092,2,2,248,250,252
新竹縣關西鎮,306,121.1866221,24.78514681,6,5,432,437,443
新竹縣寶山鄉,308,120.9991605,24.73697351,5,7,451,458,463
嘉義市西區,600,120.4248724,23.47915529,12,6,1963,1969,1981
嘉義市東區,600,120.4706244,23.48170334,4,3,1982,1985,1989
嘉義縣大林鎮,622,120.4807865,23.59890827,5,1,707,708,713
嘉義縣大埔鄉,607,120.5896466,23.28848426,0,0,41,41,41
嘉義縣中埔鄉,606,120.5365312,23.40408998,8,1,923,924,932
嘉義縣六腳鄉,615,120.2714728,23.51020984,4,2,397,399,403
嘉義縣太保市,612,120.3440009,23.4729191,9,3,965,968,977
嘉義縣水上鄉,608,120.4147357,23.42911287,3,1,1125,1126,1129
嘉義縣布袋鎮,625,120.1777498,23.37494276,4,0,264,264,268
嘉義縣民雄鄉,621,120.4442798,23.54255347,7,1,2402,2403,2410
嘉義縣朴子市,613,120.2538977,23.44610605,7,2,928,930,937
嘉義縣竹崎鄉,604,120.5965771,23.50376527,6,0,466,466,472
嘉義縣東石鄉,614,120.1738682,23.46866059,7,1,253,254,261
嘉義縣阿里山鄉,605,120.7596173,23.44077619,2,0,103,103,105
嘉義縣梅山鄉,603,120.6387459,23.55535465,1,0,219,219,220
嘉義縣鹿草鄉,611,120.3045468,23.40811736,5,2,204,206,211
嘉義縣番路鄉,602,120.6075335,23.42765669,6,4,249,253,259
嘉義縣新港鄉,616,120.3482873,23.54581295,9,6,634,640,649
嘉義縣溪口鄉,623,120.4010282,23.59353089,2,0,192,192,194
嘉義縣義竹鄉,624,120.2239433,23.34575872,3,3,163,166,169
彰化縣二水鄉,530,120.628589,23.8092402,0,0,177,177,177
彰化縣二林鎮,526,120.404225,23.91621405,11,4,961,965,976
彰化縣大村鄉,515,120.5586866,23.99209206,2,1,943,944,946
彰化縣大城鄉,527,120.3113284,23.85069276,4,0,206,206,210
彰化縣北斗鎮,521,120.5331566,23.867574,3,1,839,840,843
彰化縣永靖鄉,512,120.5416032,23.92139507,5,0,606,606,611
彰化縣田中鎮,520,120.5903471,23.85723872,2,2,716,718,720
彰化縣田尾鄉,522,120.5223244,23.90056065,6,3,459,462,468
彰化縣竹塘鄉,525,120.4136645,23.8505872,4,0,158,158,162
彰化縣伸港鄉,509,120.486449,24.16367107,4,0,578,578,582
彰化縣秀水鄉,504,120.5041184,24.03249405,4,1,921,922,926
彰化縣和美鎮,508,120.5112045,24.11379535,8,3,1937,1940,1948
彰化縣社頭鄉,511,120.6021661,23.90536413,3,2,666,668,671
彰化縣芬園鄉,502,120.6294414,24.00628794,3,0,454,454,457
彰化縣花壇鄉,503,120.5597655,24.03006875,6,2,1267,1269,1275
彰化縣芳苑鄉,528,120.3539226,23.9537906,8,4,472,476,484
彰化縣員林市,510,120.593073,23.95650448,2,0,3514,3514,3516
彰化縣埔心鄉,513,120.5342802,23.95277521,0,0,792,792,792
彰化縣埔鹽鄉,516,120.4594626,23.99204417,6,2,437,439,445
彰化縣埤頭鄉,523,120.4675642,23.88234118,3,1,497,498,501
彰化縣鹿港鎮,505,120.4385491,24.08286685,9,2,2473,2475,2484
彰化縣溪州鄉,524,120.5224904,23.82725185,7,7,504,511,518
彰化縣溪湖鎮,514,120.4831739,23.95171456,5,0,1240,1240,1245
彰化縣彰化市,500,120.5694208,24.07532909,14,3,7622,7625,7639
彰化縣福興鄉,506,120.4310511,24.03021674,6,3,1059,1062,1068
彰化縣線西鄉,507,120.452157,24.13158127,7,1,294,295,302
臺中市大甲區,437,120.6357901,24.37827161,5,1,1419,1420,1425
臺中市大安區,439,120.5914407,24.36509555,3,2,151,153,156
臺中市大肚區,432,120.5543243,24.14467504,4,0,619,619,623
臺中市大里區,412,120.6926261,24.09575742,11,3,2934,2937,2948
臺中市大雅區,428,120.6411818,24.22704181,9,7,2593,2600,2609
臺中市中區,400,120.680598,24.14168566,3,1,792,793,796
臺中市太平區,411,120.7734217,24.11477375,12,2,2622,2624,2636
臺中市北屯區,406,120.7362319,24.18400298,18,8,5730,5738,5756
臺中市北區,404,120.6809521,24.15863985,2,2,4028,4030,4032
臺中市外埔區,438,120.6650639,24.33551071,3,0,352,352,355
臺中市石岡區,422,120.7903822,24.26493299,0,0,145,145,145
臺中市后里區,421,120.7146127,24.30962483,7,4,1160,1164,1171
臺中市西屯區,407,120.6270131,24.18308895,24,14,6712,6726,6750
臺中市西區,403,120.6647579,24.14391082,3,2,3754,3756,3759
臺中市沙鹿區,433,120.5838628,24.23425212,9,13,2611,2624,2633
臺中市和平區,424,121.140185,24.27620277,0,0,25,25,25
臺中市東區,401,120.6970865,24.13733209,10,6,2154,2160,2170
臺中市東勢區,423,120.8401401,24.24952637,5,2,460,462,467
臺中市南屯區,408,120.6177379,24.14165524,8,8,2969,2977,2985
臺中市南區,402,120.6646178,24.12114107,5,2,2041,2043,2048
臺中市烏日區,414,120.6293305,24.0839271,11,4,1626,1630,1641
臺中市神岡區,429,120.6733321,24.26568008,8,4,899,903,911
臺中市梧棲區,435,120.5301259,24.24552431,4,1,1618,1619,1623
